row,name,knob,region,SAM,SID,ERGAS,PSNR,SSIM,DE,S_SAM,S_SID,S_ERGAS,S_PSNR,S_DE,S_SPEC,S_SPAT,SSC
M3,low-rank,k=12,background,4.19415,0.0250759,6.88098,52.3047,0.99715,0.578431,0.433019,0.309563,0.103623,0.997554,0.824707,0.235897,0.997352,0.469507
M3,low-rank,k=8,full,5.54173,0.0807814,7.88098,36.796,0.972097,2.23185,0.332563,0.0191814,0.0843729,0.559868,0.479624,0.0769518,0.765983,0.224837
M3,low-rank,k=8,object,2.53512,0.00968714,5.71899,36.5437,0.981811,2.08991,0.608171,0.679023,0.16863,0.551456,0.528233,0.395705,0.766633,0.517194
M3,low-rank,k=8,table,21.1387,0.605001,25.7371,30.4674,0.827454,9.4372,0.0148106,1e-06,0.00019981,0.348912,0.043222,0.000141758,0.588183,0.00615672
M3,low-rank,k=8,background,5.55021,0.0646112,8.61662,42.2297,0.981296,1.45547,0.330904,0.0673005,0.0593311,0.740989,0.618135,0.101039,0.861142,0.275134
M3,low-rank,k=4,full,10.1249,0.304565,15.3441,33.0137,0.959563,3.07024,0.134728,1e-06,0.0110842,0.433789,0.370292,0.00099171,0.696676,0.0235734
M3,low-rank,k=4,object,5.19876,0.0270427,11.6859,31.0007,0.965308,3.80368,0.373326,0.392173,0.0343063,0.366689,0.314136,0.150919,0.665998,0.273505
M3,low-rank,k=4,table,38.266,2.56997,60.7738,29.6481,0.872958,6.13476,0.000480437,1e-06,1e-06,0.321604,0.12956,7.8102e-06,0.597281,0.00171688
M3,low-rank,k=4,background,9.79989,0.198923,14.3982,37.674,0.96369,2.15213,0.143056,0.000608796,0.00977363,0.589134,0.489458,0.00804576,0.776412,0.0676185
M3,low-rank,k=2,full,13.5021,0.41062,43.1648,22.7164,0.920514,9.22372,0.0695707,1e-06,0.00174522,0.132921,0.100234,0.000222992,0.526717,0.00688275
M3,low-rank,k=2,object,11.13,0.110791,35.1917,18.7434,0.873354,15.6738,0.127286,0.0722933,0.00611749,0.070445,0.0399826,0.0244749,0.471899,0.0560736
M3,low-rank,k=2,table,39.2022,3.25851,64.646,29.8383,0.876184,5.50729,0.000395902,1e-06,1e-06,0.327942,0.160379,7.3328e-06,0.602063,0.00172106
M3,low-rank,k=2,background,11.3622,0.236601,21.4921,33.594,0.964853,4.3636,0.105727,0.000185392,0.00464264,0.453133,0.24275,0.00386875,0.708993,0.0403701
M4,added noise,sigma 0.001,full,1.1418,0.0076223,0.759078,57.2996,0.998407,0.267461,0.79661,0.684388,0.779775,1,0.914841,0.751366,0.999203,0.854769
M4,added noise,sigma 0.001,object,0.255454,6.7647e-05,0.329779,63.0235,0.999582,0.108269,0.95086,0.996635,0.896577,1,0.964705,0.946937,0.999791,0.967745
M4,added noise,sigma 0.001,table,4.64586,0.056732,6.53505,50.0243,0.992055,0.747035,0.395414,0.0719049,0.113727,0.997311,0.779592,0.141551,0.994683,0.359504
M4,added noise,sigma 0.001,background,1.28538,0.00659782,1.84189,57.8137,0.998484,0.311299,0.773451,0.72444,0.544961,1,0.90144,0.670341,0.999242,0.80582
M4,added noise,sigma 0.003,full,3.29864,0.0737435,2.27017,48.0545,0.987305,0.791585,0.521525,0.0264326,0.486874,0.935151,0.769106,0.186168,0.961228,0.407387
M4,added noise,sigma 0.003,object,0.766027,0.00061479,0.989354,53.4901,0.996306,0.324855,0.863062,0.970681,0.723806,0.999725,0.898615,0.845188,0.998016,0.903508
M4,added noise,sigma 0.003,table,12.8879,0.588205,19.0739,40.9,0.940836,2.15681,0.0765961,1e-06,0.00180182,0.696668,0.487386,0.000512374,0.818752,0.0189183
M4,added noise,sigma 0.003,background,3.75977,0.0587889,5.51234,48.5567,0.987745,0.925291,0.47202,0.0873318,0.170254,0.951891,0.734623,0.166638,0.969818,0.381267
M4,added noise,sigma 0.01,full,9.55692,0.411082,7.49249,38.3903,0.907425,2.46597,0.162855,1e-06,0.117924,0.613011,0.445866,0.00251591,0.760218,0.0396543
M4,added noise,sigma 0.01,object,2.53423,0.00944248,3.29654,43.036,0.964656,1.06855,0.634774,0.745212,0.355309,0.767867,0.70964,0.541353,0.866262,0.657229
M4,added noise,sigma 0.01,table,30.2644,3.5452,56.5417,31.953,0.713839,5.84573,0.00240538,1e-06,1e-06,0.398435,0.14259,1.3329e-05,0.556137,0.00221893
M4,added noise,sigma 0.01,background,11.5905,0.274953,18.2816,38.6207,0.898588,2.95862,0.098996,3.08246e-05,0.0051036,0.620688,0.373088,0.0014666,0.759638,0.0295022
M4,added noise,sigma 0.03,full,21.6446,1.67917,21.438,29.9213,0.636711,6.0727,0.0243219,1e-06,0.006674,0.330711,0.144846,0.000391754,0.483711,0.0103762
M4,added noise,sigma 0.03,object,7.06386,0.194437,9.71616,33.8817,0.829879,2.97389,0.308479,0.0574108,0.0574369,0.462723,0.396571,0.0709388,0.646301,0.18025
M4,added noise,sigma 0.03,table,46.8702,7.56456,150.528,24.415,0.404714,11.1154,8.5978e-05,1e-06,1e-06,0.147166,0.0246132,4.40103e-06,0.27594,0.000766787
M4,added noise,sigma 0.03,background,28.1853,1.90015,51.6947,29.8186,0.553366,7.49606,0.00362532,1e-06,3.92174e-06,0.327286,0.0823159,1.97173e-05,0.440326,0.00224066
M4,added noise,sigma 0.05,full,28.2412,3.18724,33.5651,26.3484,0.477058,8.44042,0.0095746,1e-06,0.000741279,0.211615,0.0706602,0.000112347,0.344336,0.00418814
M4,added noise,sigma 0.05,object,10.7033,0.50987,15.7544,29.9967,0.715419,4.55975,0.172403,0.00416827,0.0110961,0.333222,0.244577,0.0066738,0.524321,0.0389922
M4,added noise,sigma 0.05,table,52.4577,9.12102,242.858,21.0591,0.281719,14.0035,2.79299e-05,1e-06,1e-06,0.0353042,0.00939732,3.03015e-06,0.158512,0.000453613
M4,added noise,sigma 0.05,background,36.9469,4.18814,78.9743,26.2018,0.362935,10.3369,0.000633237,1e-06,1e-06,0.206726,0.0319628,8.53967e-06,0.284831,0.00112294
M5,smoothing,sigma 0.5px,full,1.67838,0.00247958,1.84843,53.2777,0.997963,0.312481,0.716599,0.883513,0.548301,0.990584,0.901173,0.700969,0.994274,0.822003
M5,smoothing,sigma 0.5px,object,0.519412,0.000202956,1.21925,51.2814,0.998601,0.230369,0.902976,0.989979,0.671903,0.978333,0.926319,0.842377,0.988467,0.903303
M5,smoothing,sigma 0.5px,table,5.47667,0.0152649,6.14513,50.7647,0.99444,0.63145,0.33465,0.46742,0.129408,1,0.810205,0.272349,0.99722,0.50496
M5,smoothing,sigma 0.5px,background,1.97143,0.00242457,2.73977,56.1925,0.997998,0.331424,0.674273,0.886254,0.403473,1,0.895414,0.621583,0.998999,0.775033
M5,smoothing,sigma 1px,full,4.17807,0.0122143,5.82453,43.0018,0.984186,0.861801,0.440075,0.544867,0.1663,0.766726,0.750855,0.333533,0.875456,0.524376
M5,smoothing,sigma 1px,object,1.36052,0.00130832,4.09183,40.0552,0.985509,0.749339,0.769877,0.938782,0.284385,0.668507,0.781086,0.580159,0.827008,0.684242
M5,smoothing,sigma 1px,table,13.559,0.0722346,19.3609,41.4827,0.960475,1.65599,0.066698,0.0281578,0.00162348,0.71609,0.575847,0.0143886,0.838282,0.10337
M5,smoothing,sigma 1px,background,4.87281,0.0120437,7.41914,47.3784,0.986198,0.855563,0.377724,0.552447,0.0878988,0.912613,0.751921,0.261671,0.949406,0.480379
M5,smoothing,sigma 2px,full,5.38771,0.0190237,12.8367,35.7859,0.958382,1.38567,0.347923,0.389312,0.024977,0.526197,0.632039,0.137536,0.742289,0.304437
M5,smoothing,sigma 2px,object,2.07356,0.00338541,9.57218,32.0284,0.938568,1.64632,0.672719,0.85094,0.0659988,0.400948,0.586061,0.314552,0.669758,0.442964
M5,smoothing,sigma 2px,table,17.2093,0.109797,50.8496,34.6969,0.919074,2.42035,0.0321962,0.00447229,1e-06,0.489895,0.446323,0.000516456,0.704485,0.0177525
M5,smoothing,sigma 2px,background,6.13828,0.0182682,12.7034,42.879,0.975257,1.14613,0.293535,0.409334,0.0200617,0.762633,0.68278,0.128134,0.868945,0.317626
M5,smoothing,sigma 4px,full,6.28432,0.0252437,24.5936,29.7145,0.914491,2.12752,0.2914,0.286833,0.00127258,0.323815,0.497699,0.0386955,0.619153,0.140671
M5,smoothing,sigma 4px,object,3.06483,0.00898494,18.4784,25.9869,0.843114,3.2261,0.557826,0.660446,0.00720621,0.199565,0.36069,0.118363,0.521339,0.226492
M5,smoothing,sigma 4px,table,19.6642,0.137316,132.213,27.2036,0.850302,3.61531,0.0196811,0.00113558,1e-06,0.240121,0.299673,0.00027718,0.545212,0.0111998
M5,smoothing,sigma 4px,background,6.87991,0.022846,22.0396,38.2656,0.96375,1.40958,0.253672,0.332246,0.00249215,0.608854,0.627153,0.0511013,0.786302,0.18415
M6,destriping,own profile,full,6.36018,0.254967,6.6519,35.0187,0.94894,1.69804,0.282603,0.00306291,0.122994,0.500622,0.570983,0.0209346,0.724781,0.0968178
